timestamp,event_id,event_name,category,severity,src_ip,src_port,dst_ip,dst_port,src_hostname,dst_hostname,device_name,site,issue_type,bytes,packets,protocol,risk_score,username,vlan,ssid,ap_name,latency_ms,alert_name,client_health,network_health,band,rssi_dbm,channel,client_onboard_time_ms,auth_type,device_os
DNAC-0001,2026-06-29T06:02:00.000Z,Client-Onboard-Success,ClientAssurance,info,10.10.10.21,54976,10.10.20.10,8443,ws-finance-21,app-erp-04,sw-dist-01,Campus-A/Building-1/Floor-1,ClientOnboarding,18900,22,HTTPS,9,jdavis@corp.local,10,CorpSSID,AP-B1-F1-01,14,,85,79,5GHz,-55,36,669,EAP-TLS,Windows 11
DNAC-0002,2026-06-29T06:06:00.000Z,Client-Onboard-Success,ClientAssurance,info,10.10.10.22,54806,10.10.20.12,445,ws-finance-22,fs-payroll-01,sw-dist-02,Campus-A/Building-1/Floor-2,ClientOnboarding,6144,8,SMB,12,mchen@corp.local,10,CorpSSID,AP-B1-F1-02,13,,88,91,5GHz,-58,40,717,EAP-TLS,Windows 11
DNAC-0003,2026-06-29T06:10:00.000Z,Client-Onboard-Success,ClientAssurance,info,10.10.10.23,54910,10.10.20.14,1433,ws-finance-23,db-finance-03,sw-dist-01,Campus-B/Building-2/Floor-1,ClientOnboarding,4096,6,MSSQL,13,tpatel@corp.local,10,CorpSSID,AP-B1-F2-01,8,,82,91,5GHz,-62,44,355,EAP-TLS,Windows 10
DNAC-0004,2026-06-29T06:14:00.000Z,Client-Onboard-Success,ClientAssurance,info,10.10.11.31,54713,10.10.20.11,8443,ws-hr-31,app-crm-05,sw-dist-02,Campus-A/Building-1/Floor-1,ClientOnboarding,12288,16,HTTPS,13,scode@corp.local,11,CorpSSID,AP-B2-F1-01,22,,91,80,5GHz,-52,36,512,EAP-TLS,Windows 11
DNAC-0005,2026-06-29T06:18:00.000Z,Client-Onboard-Success,ClientAssurance,info,10.10.11.32,55100,10.10.20.13,445,ws-hr-32,fs-hr-02,sw-dist-01,Campus-A/Building-2/Floor-1,ClientOnboarding,5120,7,SMB,11,pramos@corp.local,11,CorpSSID,AP-B2-F1-02,18,,87,84,5GHz,-60,40,431,EAP-TLS,Windows 10
DNAC-0006,2026-06-29T06:22:00.000Z,Client-Onboard-Success,ClientAssurance,info,10.10.12.41,55200,10.10.40.55,22,ws-it-41,ops-jump-55,sw-dist-01,Campus-A/Building-3/Floor-1,ClientOnboarding,65536,32,SSH,14,admin-jkim@corp.local,12,CorpSSID,AP-B3-F1-01,9,,93,88,5GHz,-48,36,312,EAP-TLS,Windows 11
DNAC-0007,2026-06-29T06:26:00.000Z,Client-Onboard-Success,ClientAssurance,info,10.10.13.51,56000,10.10.20.10,8443,ws-exec-51,app-erp-04,sw-dist-02,Campus-A/Building-4/Floor-1,ClientOnboarding,22500,25,HTTPS,8,ceo@corp.local,13,CorpSSID,AP-B4-F1-01,11,,95,95,5GHz,-45,36,289,EAP-TLS,macOS 14
DNAC-0008,2026-06-29T06:30:00.000Z,Switch-CPU-High,NetworkHealth,warning,10.10.70.10,0,,0,sw-dist-01,,sw-dist-01,Campus-A/Building-1,CpuHighUsage,0,0,,30,,70,,,0,Switch CPU utilization exceeded 80% threshold,62,72,,,,,,
DNAC-0009,2026-06-29T06:45:00.000Z,AP-Client-Disconnect,ClientAssurance,warning,10.10.11.33,0,,0,ws-hr-33,,sw-dist-02,Campus-B/Building-1/Floor-2,ClientDisconnect,0,0,,15,nkirk@corp.local,11,CorpSSID,AP-B1-F2-03,0,Repeated disassociation events,72,80,2.4GHz,-72,6,0,EAP-TLS,Windows 11
DNAC-0010,2026-06-29T07:00:00.000Z,AP-Client-Reconnect,ClientAssurance,info,10.10.11.33,55900,10.10.20.13,445,ws-hr-33,fs-hr-02,sw-dist-02,Campus-B/Building-1/Floor-2,ClientOnboarding,5120,7,SMB,10,nkirk@corp.local,11,CorpSSID,AP-B1-F2-03,24,,80,80,5GHz,-65,36,822,EAP-TLS,Windows 11
DNAC-0011,2026-06-29T06:50:00.000Z,Client-Onboard-Posture-Fail,ClientAssurance,warning,10.10.10.26,58000,,0,ws-finance-26,,sw-dist-01,Campus-A/Building-1/Floor-1,PostureFailed,0,0,,35,bsmith@corp.local,10,CorpSSID,AP-B1-F1-01,0,Endpoint posture failed: AV outdated,55,79,5GHz,-61,36,1204,EAP-TLS,Windows 10
DNAC-0012,2026-06-29T06:52:00.000Z,Client-Onboard-Quarantine,ClientAssurance,warning,10.10.10.26,58100,,0,ws-finance-26,,sw-dist-01,Campus-A/Building-1/Floor-1,QuarantineApplied,0,0,,40,bsmith@corp.local,998,CorpSSID,AP-B1-F1-01,0,Client quarantined to VLAN 998 pending remediation,50,79,5GHz,-61,36,0,EAP-TLS,Windows 10
DNAC-0013,2026-06-29T07:30:00.000Z,Client-Onboard-Success,ClientAssurance,info,10.10.10.26,58200,10.10.20.12,445,ws-finance-26,fs-payroll-01,sw-dist-01,Campus-A/Building-1/Floor-1,ClientOnboarding,8192,12,SMB,18,bsmith@corp.local,10,CorpSSID,AP-B1-F1-01,17,,60,79,5GHz,-61,36,1455,EAP-TLS,Windows 10
DNAC-0014,2026-06-29T08:00:00.000Z,App-Performance-Degraded,AppExperience,warning,10.10.10.21,58400,10.10.20.10,8443,ws-finance-21,app-erp-04,sw-dist-01,Campus-A/Building-1,AppLatency,0,0,HTTPS,20,jdavis@corp.local,10,CorpSSID,AP-B1-F1-01,210,ERP response time > 200ms P95,70,79,5GHz,-55,36,0,EAP-TLS,Windows 11
DNAC-0015,2026-06-29T08:30:00.000Z,App-Performance-Restored,AppExperience,info,10.10.10.21,58401,10.10.20.10,8443,ws-finance-21,app-erp-04,sw-dist-01,Campus-A/Building-1,AppLatency,0,0,HTTPS,10,jdavis@corp.local,10,CorpSSID,AP-B1-F1-01,45,,85,85,5GHz,-55,36,0,EAP-TLS,Windows 11
DNAC-0016,2026-06-29T10:05:00.000Z,Security-Advisory-C2-Detected,SecurityAdvisory,critical,10.10.10.26,55001,203.0.113.50,443,ws-finance-26,c2-server-50,sw-dist-01,Campus-A/Building-1/Floor-1,C2Communication,4096,8,HTTPS,91,bsmith@corp.local,10,CorpSSID,AP-B1-F1-01,0,C2 beacon to 203.0.113.50 detected via Threat Intelligence,,79,5GHz,-61,36,0,EAP-TLS,Windows 10
DNAC-0017,2026-06-29T13:20:00.000Z,Security-Advisory-Data-Exfil,SecurityAdvisory,critical,10.10.10.26,55100,203.0.113.50,443,ws-finance-26,c2-server-50,sw-dist-01,Campus-A/Building-1/Floor-1,DataExfiltration,2097152,1240,HTTPS,96,bsmith@corp.local,10,CorpSSID,AP-B1-F1-01,0,Bulk data upload to suspected C2 endpoint,,79,5GHz,-61,36,0,EAP-TLS,Windows 10
DNAC-0018,2026-06-29T09:00:00.000Z,Network-Health-Degraded,NetworkHealth,warning,10.10.70.1,0,,0,sw-core-01,,sw-core-01,Campus-A/Core,InterfaceError,0,0,,25,,65,60,,,,0,Core switch GigabitEthernet0/1 CRC errors > threshold,,,,,,
DNAC-0019,2026-06-29T09:30:00.000Z,Network-Health-Restored,NetworkHealth,info,10.10.70.1,0,,0,sw-core-01,,sw-core-01,Campus-A/Core,InterfaceError,0,0,,5,,90,88,,,,0,,,,,,,
DNAC-0020,2026-06-29T10:00:00.000Z,Client-Count-High,NetworkHealth,info,10.10.70.10,0,,0,sw-dist-01,,sw-dist-01,Campus-A/Building-1,HighClientCount,0,0,,5,,88,91,5GHz,,,0,,,,,,,
DNAC-0021,2026-06-29T11:00:00.000Z,Client-Onboard-Auth-Fail,ClientAssurance,error,10.10.10.23,59000,10.10.80.1,1812,ws-finance-23,sw-access-01,sw-dist-01,Campus-B/Building-2/Floor-1,AuthFailed,0,0,RADIUS,40,tpatel@corp.local,10,CorpSSID,AP-B1-F2-01,0,Client auth failed: certificate expired,55,91,5GHz,-62,44,0,EAP-TLS,Windows 10
DNAC-0022,2026-06-29T11:05:00.000Z,Client-Onboard-Success,ClientAssurance,info,10.10.10.23,59001,10.10.20.14,1433,ws-finance-23,db-finance-03,sw-dist-01,Campus-B/Building-2/Floor-1,ClientOnboarding,4096,6,MSSQL,12,tpatel@corp.local,10,CorpSSID,AP-B1-F2-01,8,,82,91,5GHz,-62,44,590,EAP-TLS,Windows 10
DNAC-0023,2026-06-29T12:00:00.000Z,Path-Trace-Completed,PathTrace,info,10.10.10.21,0,10.10.20.12,445,ws-finance-21,fs-payroll-01,sw-dist-01,Campus-A,PathAnalysis,0,0,SMB,5,jdavis@corp.local,10,,,0,"Path trace: ws-finance-21 -> fs-payroll-01 (6 hops, latency 3ms)",90,90,,,,,,
DNAC-0024,2026-06-29T15:00:00.000Z,Client-Roam-Event,ClientAssurance,info,10.10.11.32,62300,10.10.20.13,445,ws-hr-32,fs-hr-02,sw-dist-01,Campus-A/Building-2,ClientRoaming,6656,9,SMB,12,pramos@corp.local,11,CorpSSID,AP-B2-F1-01,19,,84,83,5GHz,-59,40,0,EAP-TLS,Windows 10
DNAC-0025,2026-06-29T16:00:00.000Z,Rogue-AP-Detected,SecurityAdvisory,high,,0,,0,,,sw-dist-02,Campus-B/Building-2,RogueAP,0,0,,60,,0,0,,,,0,"Rogue AP detected: SSID CorpSSID-Clone, channel 6, BSSID DE:AD:BE:EF:CA:01",,,,,,
DNAC-0026,2026-06-29T16:30:00.000Z,Client-Onboard-Success,ClientAssurance,info,10.10.10.24,60500,10.10.20.10,8443,ws-finance-24,app-erp-04,sw-dist-01,Campus-A/Building-1,ClientOnboarding,15360,20,HTTPS,11,kreyes@corp.local,10,CorpSSID,AP-B1-F1-01,12,,87,82,5GHz,-54,36,445,EAP-TLS,Windows 11
DNAC-0027,2026-06-29T16:45:00.000Z,Client-Onboard-Success,ClientAssurance,info,10.10.11.33,61200,10.10.20.11,8443,ws-hr-33,app-crm-05,sw-dist-02,Campus-B/Building-1,ClientOnboarding,14400,20,HTTPS,10,nkirk@corp.local,11,CorpSSID,AP-B2-F1-01,17,,89,84,5GHz,-57,40,388,EAP-TLS,Windows 11
DNAC-0028,2026-06-29T17:00:00.000Z,Client-Disconnect,ClientAssurance,info,10.10.10.21,0,,0,ws-finance-21,,sw-dist-01,Campus-A/Building-1,ClientDisconnect,0,0,,3,jdavis@corp.local,10,CorpSSID,AP-B1-F1-01,0,,88,82,5GHz,-55,36,0,EAP-TLS,Windows 11
DNAC-0029,2026-06-29T17:15:00.000Z,Client-Disconnect,ClientAssurance,info,10.10.11.31,0,,0,ws-hr-31,,sw-dist-01,Campus-A/Building-2,ClientDisconnect,0,0,,3,scode@corp.local,11,CorpSSID,AP-B2-F1-01,0,,87,80,5GHz,-52,36,0,EAP-TLS,Windows 11
DNAC-0030,2026-06-29T17:20:00.000Z,Daily-Network-Summary,NetworkHealth,info,10.10.70.10,0,,0,sw-dist-01,,sw-dist-01,Campus-A,DailySummary,0,0,,2,,89,88,,,,0,"Daily summary: 47 clients, avg health 87, 2 incidents",,,,,,
